"f","id","process","s","Nstrong","N","Nweak","time"
0.999818343034925,"aneuploid","dna",0.000181656965074661,5504.88113455489,11009.7622691098,22019.5245382196,9485.3129
0.984262898677104,"tetraploid","dna",0.0157371013228961,63.5441038017014,127.088207603403,254.176415206805,357.4838
0.999743029078276,"aneuploid","rna",0.00025697092172372,3891.49088656474,7782.98177312949,15565.963546259,7765.748
0.977875771674564,"tetraploid","rna",0.0221242283254364,45.1993165723341,90.3986331446682,180.797266289336,265.8735
0.999561464943788,"aneuploid","nucleic acid",0.000438535056212386,2280.31940852567,4560.63881705134,9121.27763410269,5379.5409
0.962818402763266,"tetraploid","nucleic acid",0.0371815972367342,26.8950253436674,53.7900506873348,107.58010137467,170.4533
0.985462957554538,"aneuploid","protein",0.0145370424454622,68.7897833243348,137.57956664867,275.159133297339,380.8476
0.340735529914436,"tetraploid","protein",0.659264470085564,1.51684194337094,3.03368388674188,6.06736777348376,8.7369
0.985035426576404,"aneuploid","total",0.0149645734235956,66.8244908620808,133.648981724162,267.297963448323,370.2906
0.334076482649995,"tetraploid","total",0.665923517350005,1.50167395195687,3.00334790391374,6.00669580782747,8.574
